H1 	0.101 	0.050 	259.3 	197.5 
H2 	0.081 	0.188 	265.1 	103 
H3 	0.095 	0.323 	270.3 	75.5 
H4 	0.080 	0.458 	274.8 	62 
H5 	0.091 	0.590 	279.9 	43.5 
H6 	0.080 	0.723 	285.2 	36.5 
H7 	0.092 	0.856 	292.2 	28 
H8 	0.090 	0.994 	300.3 	31 
H9 	0.230 	1.201 	312.3 	28 
H10 	0.212 	1.469 	329.8 	20 
H11 	0.213 	1.729 	348.3 	19 
H12 	0.213 	1.989 	362.3 	16 
H13 	0.227 	2.256 	366.7 	17 
H14 	0.211 	2.522 	371.1 	14 
H15 	0.214 	2.781 	358.5 	18 
H16 	0.218 	3.044 	344.4 	22 
H17 	0.227 	3.314 	323.5 	27 
H18 	0.188 	3.568 	300.2 	48 
H19 	0.101 	3.760 	286.3 	2831 
