H1 	0.089 	0.045 	260.1 	138 
H2 	0.090 	0.179 	263.0 	124 
H3 	0.084 	0.312 	265.5 	104 
H4 	0.086 	0.442 	267.3 	81.5 
H5 	0.085 	0.573 	271.0 	64 
H6 	0.085 	0.704 	276.6 	51 
H7 	0.086 	0.835 	283.6 	41 
H8 	0.094 	0.971 	292.0 	35 
H9 	0.217 	1.172 	304.5 	42 
H10 	0.210 	1.431 	321.0 	30 
H11 	0.220 	1.691 	338.2 	31 
H12 	0.213 	1.954 	354.0 	22 
H13 	0.213 	2.212 	363.2 	21 
H14 	0.204 	2.466 	372.3 	22 
H15 	0.212 	2.720 	367.9 	20 
H16 	0.215 	2.979 	357.8 	28 
H17 	0.234 	3.248 	344.7 	31 
H18 	0.249 	3.535 	322.5 	49 
H19 	0.105 	3.758 	299.5 	2604 
